year,group_dir,palette_hex,palette_proportions,n_images,image_source,avg_hue,avg_saturation,avg_brightness
2012,2012_Phi_Kappa_Chi,#161E45;#7F2C1B;#323A68;#441614;#8B5943;#433638;#A67E67;#DD967C;#D0604A;#F5C7AD,0.2458;0.1328;0.1196;0.1134;0.1042;0.0870;0.0734;0.0556;0.0448;0.0234,8,youtube,0.9319,0.5730,0.4463
2012,2012_Pi_Beta_Phi,#1E1C41;#3F3733;#2E2F5B;#45546B;#657C93;#3B181C;#6B564B;#909EBC;#A78771;#2B54B3,0.1973;0.1965;0.1687;0.1143;0.0767;0.0764;0.0744;0.0388;0.0305;0.0264,8,youtube,0.7389,0.4043,0.3673
2013,2013_Alpha_Tau_Omega,#4C1B1E;#5A5350;#183055;#9A7C63;#923012;#D9471C;#BE95AD;#E4854D;#E3CE97;#775497,0.2682;0.1556;0.1346;0.1056;0.0960;0.0610;0.0546;0.0465;0.0451;0.0328,5,bing,0.0051,0.5340,0.4922
2013,2013_Chi_Omega_and_Phi_Gamma_Delta,#452625;#6D5159;#A17A80;#7D103C;#CE094D;#D796A6;#A03370;#E8D3C6;#E03F8A;#1B2D57,0.1471;0.1215;0.1182;0.1117;0.1096;0.1016;0.0760;0.0747;0.0739;0.0657,7,youtube,0.9531,0.5222,0.5983
2013,2013_Kappa_Omega_Tau,#381A2E;#473E5F;#821325;#DB34C2;#D32340;#EE5761;#961F7E;#8D626B;#D3ABAA;#2154B9,0.2308;0.1741;0.1301;0.0980;0.0936;0.0788;0.0654;0.0614;0.0346;0.0332,7,youtube,0.8876,0.6026,0.5422
2013,2013_Kappa_Sigma,#521E25;#D11540;#951329;#251B51;#87555A;#0D56E5;#073294;#DF3678;#6D22A9;#D5A89B,0.1678;0.1399;0.1303;0.1158;0.0954;0.0872;0.0842;0.0810;0.0500;0.0483,7,youtube,0.8933,0.7355,0.6036
2013,2013_Phi_Kappa_Chi,#7B91B8;#313A40;#4F2C1C;#795037;#AA7350;#5363AA;#D79B72;#F0C4A7;#AAB1E3;#C02D1B,0.1532;0.1332;0.1209;0.1136;0.1075;0.1061;0.0932;0.0807;0.0703;0.0215,4,bing,0.9140,0.4376,0.6109
2013,2013_Pi_Beta_Phi,#442832;#812E34;#EED7B1;#125361;#CC9E87;#9B3B8F;#573D85;#8A6E53;#D5523D;#107EB7,0.1700;0.1378;0.1201;0.1024;0.0971;0.0850;0.0817;0.0804;0.0716;0.0538,8,youtube,0.9685,0.5348,0.5800
2013,2013_Sing_Alliance,#402720;#E8B0B1;#930832;#D70F50;#B3DFE7;#C38374;#F7EBAA;#92B8A7;#6E5F58;#2592CA,0.2574;0.1059;0.0981;0.0937;0.0882;0.0830;0.0785;0.0712;0.0621;0.0619,8,youtube,0.0269,0.4898,0.6431
2013,2013_Zeta_Tau_Alpha,#AC8479;#CDA59D;#7B6254;#4F2B31;#921D95;#EED6B5;#C23EDD;#1B1957;#2A3599;#2E65E1,0.1642;0.1503;0.1242;0.1145;0.1090;0.0850;0.0814;0.0604;0.0586;0.0523,7,youtube,0.9547,0.4693,0.6425
