Year,Group,Theme,Placement,Songs,YouTube_Link
2022,Alpha Phi,Magic in Phi,Pigskin,Bibbidi Bobbidi Boo (Helena Bonham Carter); Gimme Gimme Gimme (ABBA); Magic (Selena Gomez); Magic (B.o.B.); Oops I Did it Again (Britney Spears); Working for the Weekend (Loverboy),https://www.youtube.com/watch?v=dzWISPniVac
2022,Alpha Tau Omega,,Pigskin,All My Rowdy Friends are Coming Over Tonight (Hank Williams Jr.); Hey Brother (Avicii); I'll Fly Away (The Dillards); I'll Make A Man Out of You (Donny Osmond); Lost Boy (Ruth B); Second Star to the Right (Jonatha Brook); Wild Ones (Flo Rida),https://www.youtube.com/watch?v=759-rElG1Sk
2022,Chi Omega,Taken for Granite,Pigskin,All By Myself (Celine Dion); Bohemian Rhapsody (Queen); Edge of Seventeen (Stevie Nicks); Feel Again (OneRepublic); I Will Survive (Gloria Gaynor); Staying Alive (Lizzo); Welcome to the 60's (The Hit Crew),https://www.youtube.com/watch?v=rL69MevJPmo
2022,Delta Delta Delta,We Got the Reef,2nd,Holding out for a Hero (Bonnie Tyler); Hooked on a Feeling (Blue Swede); How Far I'll Go (Reprise) (Auli'I Cravalho); Rock Lobster (The B-52's); Run The World (Girls) (Beyonce); We Got the Beat (The Go-Go's),https://www.youtube.com/watch?v=O3V0f5tzjsM
2022,Kappa Kappa Gamma,Dine 'n Dance,3rd,At the Hop (Danny and the Juniors); Crusin' for a Brusin' (Ross Lynch and Grace Phipps); Rock this Town (Brian Setzer); This Cat's on a Hot Tin Roof (The Brian Setzer Orchestra); We Go Together (Sugar Factory Singers); Wild Child (Lee Rocker),https://www.youtube.com/watch?v=5LLfqgO1kBQ
2022,Kappa Omega Tau,It's a Gnome's World,1st,I Can't Get No Satisfaction (The Rolling Stones); It's  Man's Man's Man's World (James Brown); Rapper's Delight (The Sugarhill Gang); Respect (Aretha Franklin); Superstition (Stevie Wonder); That's Just the Way We Roll (Jonas Brothers),https://www.youtube.com/watch?v=qb88KZ9KKXk
2022,Kappa Sigma,,Pigskin,Come With me Now (Kongos); Give up the Funk (Parliament); Old Time Rock and Roll (Bob Seger); Play Something Country (Brooks and Dunn); Rock with You (Michael Jackson); These Will Be the Good Old Days (Twenty Years From Now) (Judy Holliday); Uptown Funk (Bruno Mars),https://www.youtube.com/watch?v=1pM7l9Xbrg4
2022,Pi Beta Phi & Phi Kappa Chi,,Pigskin,Dig it (D-Tent Boys); Finesse (Bruno Mars); Greedy (Ariana Grande); Like I Can (Sam Smith); You are my Vision (Rend Connect),https://www.youtube.com/watch?v=27pMkpmydWk
2022,Zeta Tau Alpha,All the Birds of a Feather,Participated,,https://www.youtube.com/watch?v=Yxdp_7J8MsA
2023,Alpha Chi Omega,,Participated,You Make My Dreams (Come True) (Hall & Oates); ...Ready for It? (Taylor Swift); Little Girls (Criminals) (Cast of Annie the Musical); Save The City (Hawkeye Vol. 2); I'm a Believer (Bowling for Soup); Call Me (Blondie),https://www.youtube.com/watch?v=fPiMdKBZpG0
2023,Alpha Delta Pi,I30-pi,Participated,Shut Up and Drive (Rihanna); Fire Burning (Sean Kingston); Dance of the Little Swans (Tchaikovsky); You'll Always Find Your Way Back Home (Hannah Montana); Hard Working Man (Brooks & Dunn); Workin on the Highway (Bruce Springsteen); Take on Me (Ha),https://www.youtube.com/watch?v=2-D0uJrKrv0
2023,Alpha Phi,Hotel Phiasco!,Participated,Zack and Cody Theme Song (Cast of Suite Life of Zack and Cody); Celebration (Kool and the Gang); You Make Me Feel (Cobra Starship); Dancing in the Kitchen (Tim Kubart); Big Girls Don't Cry (Fergie); Mr. Lonely (Akon); Feel it Still (Portugal. The Man); Be Our Guest (Disney),https://www.youtube.com/watch?v=zT0ILvdYalg
2023,Beta Theta Pi,Man Or Mathlete,Participated,Fantasy (Mariah Carey); Changes (David Bowie); All-Star (Smash Mouth); You Belong with Me (Taylor Swift); I Won't Say (I'm in Love) (Disney / Hercules Cast); Man or a Muppet (Muppets Cast); Want U Back (Cher Lloyd),https://www.youtube.com/watch?v=7Xtathu4KsE
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,"Somethings Got a Hold on Me (Christina Aguilera); Sharp Dressed Man (ZZ Top); Oh, Pretty Woman (Roy Orbison); Johnny B. Goode (Chuck Berry); Come on Eileen (Dexys Midnight Runners); 24K Magic (Bruno Mars); Rockin’ on Top of the World (Steven Tyler)",https://www.youtube.com/watch?v=BtkhzXsmZos
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,Real Gone (Sheryl Crow); R.O.C.K. in the USA (John Mellencamp); DAnger Zone (Kenny Loggins); Rolling in the Deep (Adele); Don't Stop Me Now (Queen); Good to be Alive (Hallelujah) (Andy Grammar),https://www.youtube.com/watch?v=-zvoU_Pou7c
2023,Delta Tau Delta,Under the Big Top,Participated,"Jungle (X Ambassadors); Circus (Britney Spears); Entrance of the Gladiators (Julius Fučík); Welcome to the Party (Diplo, French Montana, Lil Pump); Forget You (Cee Lo Green); Leave a Light On (Tom Walker); Rocket Man (Elton John); Show Goes On (Lupe Fiasco)",https://www.youtube.com/watch?v=jqlXH4j0C0w
2023,Kappa Alpha Theta,,Participated,Baba O-Riley (The Who); Ready or Not (The Delfonics); Everybody Wants to Rule the World (Tears for Fears); Whatever it Takes (Imagine Dragons); Running Up That Hill (Kate Bush); Sorry Not Sorry (Demi Lovato); Blinding Lights (The Weeknd); Rather Be (Clean Bandit),https://www.youtube.com/watch?v=u9tVmuhApQo
2023,Kappa Chi Alpha,,Participated,Chim-Chim-er-Ree (East Wind) (Saving Mr. Banks); Takin' Care of Business (Bachman-Turner Overdrive); I Ain't Worried (One Republic); I Want You Back (The Jackson 5); One Way or Another (Blondie); Spoonful of Sugar (Mary Poppins Musical Cover); Any Way You Want It (Journey); Supercalifragilistic (The Hit rew),
2023,Kappa Kappa Gamma,Kappa HQ,Pigskin,Welcome to the Working Week (Elvis Costello); Manic Monday (The Bangles); A Hard Day's Night (The Beatles); Livin' on a Prayer (Bon Jovi); She Works for the Money (Donna Summer); Walkin' on Sunshine (Katrina & the Waves),https://www.youtube.com/watch?v=GKhwRxRBqlE
2023,Kappa Omega Tau,Against All Oz,Pigskin,"Feeling Good (Michael Buble); Bright Lights, Bigger City (Cee Lo Green); Fortunate Son (Creedence Clearwater Revival); Do I Wanna Know? (Arctic Monkeys); Glory (John Legend (From Motion Picture Selma)); Cold as Ice (Foreigner); Freedom 90' (George Michael)",https://www.youtube.com/watch?v=cqgDSEWCaac
2023,Kappa Sigma,,Participated,Suit & Jacket (Judah & the Lion); Born to Run (American Authors); Mountain Sound (Monsters & Men); Spirit (Judah & the Lion); Bring it on Home (American Authors),
2023,Phi Gamma Delta,,Participated,Start Me Up (The Rolling Stones); Blitzkreig Bop (The Ramones); Hey Ya! (The OutKast); Footloose (Kenny Loggins); We are Young (Fun.),https://www.youtube.com/watch?v=naAk_rHByeY
2023,Phi Kappa Chi,,Participated,Cold (Chris Stapleton); Trouble (Elvis Presley); Something's Got to Give (Labrinth); All Things New (Big Daddy Weave); Power of Love (Ben Rector),https://www.youtube.com/watch?v=Ex27bhbFmP8
